date,ID,Idle_Phonefacingdown,Idle_Phonefacingup,Lying,Sitting,Standing,Walking,COMMUNICATION,ENTERTAINMENT,FINANCE,MAPS_AND_NAVIGATION,PERSONALIZATION,PRODUCTIVITY,SOCIAL,TOOLS,TRAVEL_AND_LOCAL,VIDEO_PLAYERS,ART_AND_DESIGN,BUSINESS,EDUCATION,FOOD_AND_DRINK,LIFESTYLE,MUSIC_AND_AUDIO,PHOTOGRAPHY,WEATHER,BOOKS_AND_REFERENCE,GAME_STRATEGY,SHOPPING,COMICS,GAME_ACTION,GAME_PUZZLE,GAME_BOARD,GAME_CASUAL,HEALTH_AND_FITNESS,SPORTS,AUTO_AND_VEHICLES,GAME_ADVENTURE,GAME_ROLE_PLAYING,GAME_SPORTS,NEWS_AND_MAGAZINES
2022-12-01,10,47308.12372,4379.876475,3231.01168,1429.94098,15118.0783,207.39602,1919.384,,,,912.208,42.2,12770.073,828.522,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-02,10,9569.670264,3041.577,3955.788144,1237.487328,5951.062656,229.421808,5047.45,,,,612.538,,7709.713,13.866,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-05,10,31369.5735,17953.33598,11334.73005,2142.96405,20740.25805,630.5979,9190.061,,215.615,2377.239,1137.101,,7106.681,492.573,1893.196,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-06,10,21809.1304,330.391806,62.152914,3153.442584,821.072706,0,2583.716,,,,624.154,46.909,8767.787,281.663,1245.381,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-09,10,28519.58221,4904.112096,4497.744992,452.545184,9923.669392,0,3218.382,,,,585.523,,13010.739,10.115,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-10,10,36781.82606,5327.876107,4081.71588,11131.9524,28658.59301,417.448215,724.067,,5.816,,671.786,,18833.819,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-11,10,29116.9251,13489.46388,12157.6451,3254.24457,28018.39608,360.27027,10301.022,,,,1058.733,,14958.085,184.844,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-12,30,16574.72899,7283.80984,4139.45141,1563.71754,26471.50407,311.38964,5628.793,,,,980.679,,16014.704,58.021,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-28,30,19064.93023,7290.377581,3463.737796,111.385759,8609.041244,17.965445,8196.492,,,,1066.352,118.466,15243.96,295.017,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-29,30,35999.11304,10326.39023,4559.704776,13023.80916,22207.22527,283.457583,5605.136,,,,1097.662,41.054,13183.855,740.807,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30,30,39016.49977,16036.24174,6659.448334,585.87522,23755.84523,343.155486,2883.939,,,,910.451,9.544,12551.491,80.1,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,30,49395.10699,14126.03909,5417.879824,1391.123328,16011.55674,54.553856,6719.589,,,,1301.446,454.649,10331.322,25.741,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01,30,41014.72622,13032.74324,5738.149296,2219.847282,24236.87665,155.92797,8156.734,,,,728.715,10.382,14619.424,412.984,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-02,30,18260.12138,1177.826163,641.063052,10.175604,1383.882144,0,5029.11,1.148,,,987.984,162.982,14536.055,547.491,,1100.592,,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,30,31550.73403,5937.697014,3130.09587,2535.693826,14221.38507,376.243847,3042.453,,158.393,,1145.087,22.666,11093.427,248.588,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-06,30,34225.74931,1891.20034,2214.695135,25869.62991,22196.71978,0,183.697,,,,455.717,,5035.563,72.303,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-07,30,59090,6945,7130,1060,12100,75,682.651,,46.253,,360.304,,10493.841,2530.838,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-08,30,42224.97396,16788.94295,6581.44448,1842.08908,18358.29554,603.59715,4773.556,,6.291,,1275.879,285.656,16088.745,98.617,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-09,30,6420.04878,2592.903422,3692.772244,263.769446,3652.957988,9.953564,2905.478,,,,806.473,61.696,5787.889,694.857,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-30,11,100.611265,6.59746,0,183.079515,0,0,448.487,,,,258.099,14.581,,267.903,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,11,19999.74815,102.666886,570.636878,9974.207355,428.574559,0,24.015,,,,348.923,5.959,,19.836,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-02,11,818.281854,0,0,1307.852194,0,87.423275,,,,,8.917,,,10.044,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-04,11,25577.15521,395.680516,2476.440604,1037.324596,433.873616,114.5793,140.364,,,,298.269,4.07,,19.009,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-05,11,11596.7044,562.305318,2268.099628,11120.70014,1747.596384,320.932052,,,,,122.996,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-09,11,14682.39378,500.987518,2069.29627,8380.970218,664.993662,33.313748,,,,,100.342,,,13.132,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-10,11,21213.65497,250.816368,1679.486072,8310.136428,313.52046,194.259736,176.176,,,,217.711,49.418,,13.341,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-11,11,16645.78936,752.99664,5617.52607,7181.99068,2278.95574,614.66203,609.805,,,,339.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-30,11,30827.78422,863.888553,5037.200916,3588.790755,3386.786964,477.072783,,,,,113.08,4.468,,11.193,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,11,53827.50824,2664.25544,5075.21432,10590.71376,12724.5052,738.67112,29.999,,,,69.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-24,13,1659,166.5,0,0,304.5,0,13522.982,,,,,95.618,2472.08,43.236,6.562,,,,,,,,2589.24,,,,,,,,,,,,,,,,
2022-12-25,13,24381,8352.5,7963.5,3122.5,41908,672,7464.685,,,,,164.487,4399.677,12.792,,,,118.965,,,,,3826.456,,,,,,,,,,,,,,,,
2022-12-26,13,4019.914976,271.602457,373.391312,0,2178.778028,0,15124.314,1075.384,,,,46.832,4912.179,5.229,,893.732,,,,,,,1083.8,,,,,,,,,,,,,,,,
2022-10-04,15,0,0,0,0,35.243617,0,4797.397,,44.884,,810.53,509.897,14036.681,1080.788,,9.562,,74.474,32.477,,,,,,,,,,,,,,,,,,,,
2022-10-07,15,0,0,0,0,15.998944,0,2188.744,,60.319,,1356.886,70.11,4202.407,960.561,,149.549,,,625.898,,,69.06,,,,,,,,,,,,,,,,,
2022-10-08,15,0,367.48964,0,0,75702.86584,0,3508.787,,81.297,,1981.226,1119.317,1113.268,9212.18,,2030.298,,,168.645,,,,,,,192.422,,,,,,,,,,,,,
2022-10-09,15,0,3227.368599,0,0,1690.526409,0,4171.868,206.435,,,1121.561,2310.479,2322.591,11391.541,,,,,82.795,,,,,,,263.852,,,,,,,,,,,,,
2022-10-11,15,0,0,57.405525,0,822.812525,554.920075,4445.832,1449.79,54.29,,860.397,480.543,6982.535,3029.367,31.048,1122.9,,39.265,29.017,,,,99.144,,,,,,,,,,,,,,,,
2022-10-12,15,0,53.23857,0,0,31.943142,0,1669.211,9.421,,,556.537,161.82,5278.345,700.773,,62.019,,61.559,168.589,,,2.923,,,,,,,,,,,,,,,,,
2022-11-21,15,4,12,0,0,63.5,0,2992.389,3.712,90.675,,416.725,20.885,2822.042,54.253,,635.724,394.122,,266.249,,,238.439,,,,130.675,319.101,,,,,,,,,,,,
2022-11-28,15,5637.785915,3.984301,9897.003684,426.320207,7952.664796,3486.263375,2986.648,,73.487,,536.022,86.971,2447.186,196.172,,,,,327.155,,,99.31,,,,,,,,,,,,,,,,,
2022-11-29,31,250.893944,47804.25683,1415.758684,9009.780739,18153.96895,0,2550.362,493.626,,,411.709,121.308,3319.644,298.324,,,,,84.272,,,,,,,89.204,,,,,,,,,,,,,
2022-11-30,31,9485.397865,20872.88079,1601.75584,85.093279,23871.1675,26078.58727,2941.644,,,,226.957,41.651,1518.706,91.159,,,,39.703,9.873,,,54.884,,,,,,,,,,,,,,,,,
2022-12-01,31,28047.72283,32.556846,21.704564,189.914935,40658.07451,0,3525.137,,,,536.374,2708.665,4612.576,908.588,,783.559,,,181.2,,,265.397,,,,17.527,,,,,,,,,,,,,
